block,subblock,repetition,repetitioncount,filename,alg,predictions,cache_prevalence,cache_nonprevalent,cache_localprevalent,filter,save_trees,clean_trees,maxdist,minprev,minfreq,pcachetime,pcachehit,pcachemiss,lcachetime,lcachehit,lcachemiss,fcachetime,fcachehit,fcachemiss,prcachetime,prcachehit,prcachemiss,time,memavail,candidate_instances_size_1,candidate_instances_size_2,candidate_instances_size_3,candidate_instances_size_4,candidate_instances_size_5,candidate_instances_size_6,candidate_instances_size_7,candidate_instances_size_8,candidate_instances_size_9,candidate_instances_size_10,candidate_instances_size_11,candidate_instances_size_12,candidate_instances_size_13,candidate_instances_size_14,candidate_instances_size_15,candidate_instances_size_16,candidate_instances_size_17,candidate_instances_size_18,candidate_instances_size_19,candidate_instances_size_20,candidate_colocations_size_1,candidate_colocations_size_2,candidate_colocations_size_3,candidate_colocations_size_4,candidate_colocations_size_5,candidate_colocations_size_6,candidate_colocations_size_7,candidate_colocations_size_8,candidate_colocations_size_9,candidate_colocations_size_10,candidate_colocations_size_11,candidate_colocations_size_12,candidate_colocations_size_13,candidate_colocations_size_14,candidate_colocations_size_15,candidate_colocations_size_16,candidate_colocations_size_17,candidate_colocations_size_18,candidate_colocations_size_19,candidate_colocations_size_20,pattern_instances_size_1,pattern_instances_size_2,pattern_instances_size_3,pattern_instances_size_4,pattern_instances_size_5,pattern_instances_size_6,pattern_instances_size_7,pattern_instances_size_8,pattern_instances_size_9,pattern_instances_size_10,pattern_instances_size_11,pattern_instances_size_12,pattern_instances_size_13,pattern_instances_size_14,pattern_instances_size_15,pattern_instances_size_16,pattern_instances_size_17,pattern_instances_size_18,pattern_instances_size_19,pattern_instances_size_20,pattern_colocations_size_1,pattern_colocations_size_2,pattern_colocations_size_3,pattern_colocations_size_4,pattern_colocations_size_5,pattern_colocations_size_6,pattern_colocations_size_7,pattern_colocations_size_8,pattern_colocations_size_9,pattern_colocations_size_10,pattern_colocations_size_11,pattern_colocations_size_12,pattern_colocations_size_13,pattern_colocations_size_14,pattern_colocations_size_15,pattern_colocations_size_16,pattern_colocations_size_17,pattern_colocations_size_18,pattern_colocations_size_19,pattern_colocations_size_20
1,1,1,1,..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_08\SpatioTemporalTravelApproachGenerator_output_file__waiting_time_frames_040__sample_00.txt,FastMDCOPOrig,,,,,,,,10,1.0,0.5,,,,,,,,,,,,,0.1342881,10897.5390625,,1670,0.0,,,,,,,,,,,,,,,,,,,28,0.0,,,,,,,,,,,,,,,,,,,501,0.0,,,,,,,,,,,,,,,,,,,1,0.0,,,,,,,,,,,,,,,,,
1,2,1,1,..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_08\SpatioTemporalTravelApproachGenerator_output_file__waiting_time_frames_040__sample_01.txt,FastMDCOPOrig,,,,,,,,10,1.0,0.5,,,,,,,,,,,,,0.1270917,10898.51171875,,379,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
1,3,1,1,..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_08\SpatioTemporalTravelApproachGenerator_output_file__waiting_time_frames_040__sample_02.txt,FastMDCOPOrig,,,,,,,,10,1.0,0.5,,,,,,,,,,,,,0.1501225,10895.67578125,,2199,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
1,4,1,1,..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_08\SpatioTemporalTravelApproachGenerator_output_file__waiting_time_frames_040__sample_03.txt,FastMDCOPOrig,,,,,,,,10,1.0,0.5,,,,,,,,,,,,,0.1773311,10899.82421875,,3126,0.0,,,,,,,,,,,,,,,,,,,28,0.0,,,,,,,,,,,,,,,,,,,530,0.0,,,,,,,,,,,,,,,,,,,1,0.0,,,,,,,,,,,,,,,,,
1,5,1,1,..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_08\SpatioTemporalTravelApproachGenerator_output_file__waiting_time_frames_040__sample_04.txt,FastMDCOPOrig,,,,,,,,10,1.0,0.5,,,,,,,,,,,,,0.1255051,10898.234375,,772,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
1,6,1,1,..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_08\SpatioTemporalTravelApproachGenerator_output_file__waiting_time_frames_040__sample_05.txt,FastMDCOPOrig,,,,,,,,10,1.0,0.5,,,,,,,,,,,,,0.1413348,10897.078125,,1368,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
1,7,1,1,..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_08\SpatioTemporalTravelApproachGenerator_output_file__waiting_time_frames_040__sample_06.txt,FastMDCOPOrig,,,,,,,,10,1.0,0.5,,,,,,,,,,,,,0.1362230999999999,10898.22265625,,1527,0.0,,,,,,,,,,,,,,,,,,,28,0.0,,,,,,,,,,,,,,,,,,,622,0.0,,,,,,,,,,,,,,,,,,,1,0.0,,,,,,,,,,,,,,,,,
1,8,1,1,..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_08\SpatioTemporalTravelApproachGenerator_output_file__waiting_time_frames_040__sample_07.txt,FastMDCOPOrig,,,,,,,,10,1.0,0.5,,,,,,,,,,,,,0.1475554,10897.73046875,,2142,0.0,,,,,,,,,,,,,,,,,,,28,0.0,,,,,,,,,,,,,,,,,,,546,0.0,,,,,,,,,,,,,,,,,,,1,0.0,,,,,,,,,,,,,,,,,
1,9,1,1,..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_08\SpatioTemporalTravelApproachGenerator_output_file__waiting_time_frames_040__sample_08.txt,FastMDCOPOrig,,,,,,,,10,1.0,0.5,,,,,,,,,,,,,0.1573414,10898.015625,,3025,353.0,,,,,,,,,,,,,,,,,,,28,1.0,,,,,,,,,,,,,,,,,,,1908,0.0,,,,,,,,,,,,,,,,,,,3,0.0,,,,,,,,,,,,,,,,,
1,10,1,1,..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_08\SpatioTemporalTravelApproachGenerator_output_file__waiting_time_frames_040__sample_09.txt,FastMDCOPOrig,,,,,,,,10,1.0,0.5,,,,,,,,,,,,,0.1391235,10897.79296875,,1501,0.0,,,,,,,,,,,,,,,,,,,28,0.0,,,,,,,,,,,,,,,,,,,732,0.0,,,,,,,,,,,,,,,,,,,1,0.0,,,,,,,,,,,,,,,,,
1,11,1,1,..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_08\SpatioTemporalTravelApproachGenerator_output_file__waiting_time_frames_040__sample_10.txt,FastMDCOPOrig,,,,,,,,10,1.0,0.5,,,,,,,,,,,,,0.1389901,10899.609375,,1063,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
1,12,1,1,..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_08\SpatioTemporalTravelApproachGenerator_output_file__waiting_time_frames_040__sample_11.txt,FastMDCOPOrig,,,,,,,,10,1.0,0.5,,,,,,,,,,,,,0.1307445,10898.6640625,,1490,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
1,13,1,1,..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_08\SpatioTemporalTravelApproachGenerator_output_file__waiting_time_frames_040__sample_12.txt,FastMDCOPOrig,,,,,,,,10,1.0,0.5,,,,,,,,,,,,,0.1227371999999999,10897.29296875,,302,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
