"block","subblock","repetition","repetitioncount","filename","alg","predictions","cache_prevalence","cache_nonprevalent","cache_localprevalent","filter","save_trees","clean_trees","maxdist","minprev","minfreq","pcachetime","pcachehit","pcachemiss","lcachetime","lcachehit","lcachemiss","fcachetime","fcachehit","fcachemiss","prcachetime","prcachehit","prcachemiss","time","memavail","candidate_instances_size_1","candidate_instances_size_2","candidate_instances_size_3","candidate_instances_size_4","candidate_instances_size_5","candidate_instances_size_6","candidate_instances_size_7","candidate_instances_size_8","candidate_instances_size_9","candidate_instances_size_10","candidate_instances_size_11","candidate_instances_size_12","candidate_instances_size_13","candidate_instances_size_14","candidate_instances_size_15","candidate_instances_size_16","candidate_instances_size_17","candidate_instances_size_18","candidate_instances_size_19","candidate_instances_size_20","candidate_colocations_size_1","candidate_colocations_size_2","candidate_colocations_size_3","candidate_colocations_size_4","candidate_colocations_size_5","candidate_colocations_size_6","candidate_colocations_size_7","candidate_colocations_size_8","candidate_colocations_size_9","candidate_colocations_size_10","candidate_colocations_size_11","candidate_colocations_size_12","candidate_colocations_size_13","candidate_colocations_size_14","candidate_colocations_size_15","candidate_colocations_size_16","candidate_colocations_size_17","candidate_colocations_size_18","candidate_colocations_size_19","candidate_colocations_size_20","pattern_instances_size_1","pattern_instances_size_2","pattern_instances_size_3","pattern_instances_size_4","pattern_instances_size_5","pattern_instances_size_6","pattern_instances_size_7","pattern_instances_size_8","pattern_instances_size_9","pattern_instances_size_10","pattern_instances_size_11","pattern_instances_size_12","pattern_instances_size_13","pattern_instances_size_14","pattern_instances_size_15","pattern_instances_size_16","pattern_instances_size_17","pattern_instances_size_18","pattern_instances_size_19","pattern_instances_size_20","pattern_colocations_size_1","pattern_colocations_size_2","pattern_colocations_size_3","pattern_colocations_size_4","pattern_colocations_size_5","pattern_colocations_size_6","pattern_colocations_size_7","pattern_colocations_size_8","pattern_colocations_size_9","pattern_colocations_size_10","pattern_colocations_size_11","pattern_colocations_size_12","pattern_colocations_size_13","pattern_colocations_size_14","pattern_colocations_size_15","pattern_colocations_size_16","pattern_colocations_size_17","pattern_colocations_size_18","pattern_colocations_size_19","pattern_colocations_size_20"
1,1,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_02\SpatioTemporalCircularMotionApproachGenerator_output_file.txt","FastMDCOPOrig","","","","","","","",10,0.5,0.1,"","","","","","","","","","","","",49.3456562,726.8359375,"",538460,284415,222928,126329,51371,13374,1618,0,"","","","","","","","","","","","",1711,90,86,59,28,8,1,0,"","","","","","","","","","","","",242559,284415,222928,126329,51371,13374,1618,0,"","","","","","","","","","","","",64,90,86,59,28,8,1,0,"","","","","","","","","","",""
1,2,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_02\SpatioTemporalCircularMotionApproachGenerator_output_file.txt","FastMDCOPOrig","","","","","","","",10,0.5,0.3,"","","","","","","","","","","","",42.1356479,687.14453125,"",472821,284415,222906,122661,43148,1878,"","","","","","","","","","","","","","",1711,90,86,58,23,1,"","","","","","","","","","","","","","",242559,284415,219857,116815,25626,0,"","","","","","","","","","","","","","",64,90,85,55,13,0,"","","","","","","","","","","","",""
1,3,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_02\SpatioTemporalCircularMotionApproachGenerator_output_file.txt","FastMDCOPOrig","","","","","","","",10,0.5,0.5,"","","","","","","","","","","","",36.6521468,691.44140625,"",408608,284415,216192,110010,7941,"","","","","","","","","","","","","","","",1711,90,86,53,4,"","","","","","","","","","","","","","","",242559,284415,190294,71922,0,"","","","","","","","","","","","","","","",64,90,76,32,0,"","","","","","","","","","","","","",""
1,4,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_02\SpatioTemporalCircularMotionApproachGenerator_output_file.txt","FastMDCOPOrig","","","","","","","",10,0.5,0.7,"","","","","","","","","","","","",29.769088400000005,693.0859375,"",343677,279785,188630,39362,0,"","","","","","","","","","","","","","","",1711,90,80,19,0,"","","","","","","","","","","","","","","",242559,269246,132843,7510,0,"","","","","","","","","","","","","","","",64,86,51,3,0,"","","","","","","","","","","","","",""
1,5,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_02\SpatioTemporalCircularMotionApproachGenerator_output_file.txt","FastMDCOPOrig","","","","","","","",10,0.5,0.9,"","","","","","","","","","","","",24.044618399999997,657.73046875,"",278921,229282,84002,0,"","","","","","","","","","","","","","","","",1711,90,40,0,"","","","","","","","","","","","","","","","",242559,167891,22582,0,"","","","","","","","","","","","","","","","",64,54,8,0,"","","","","","","","","","","","","","",""
1,6,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_02\SpatioTemporalInteractionApproachGenerator_output_file.txt","FastMDCOPOrig","","","","","","","",10,0.5,0.1,"","","","","","","","","","","","",92.74340289999999,757.19921875,"",1700712,701616,620727,357097,112000,32000,4000,0,"","","","","","","","","","","","",1711,131,97,61,28,8,1,0,"","","","","","","","","","","","",517666,663015,620727,357097,112000,32000,4000,0,"","","","","","","","","","","","",117,116,97,61,28,8,1,0,"","","","","","","","","","",""
1,7,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_02\SpatioTemporalInteractionApproachGenerator_output_file.txt","FastMDCOPOrig","","","","","","","",10,0.5,0.3,"","","","","","","","","","","","",75.1648414,734.46484375,"",1344291,675732,613737,351222,112000,32000,4000,0,"","","","","","","","","","","","",1711,124,96,60,28,8,1,0,"","","","","","","","","","","","",492052,643929,607047,351222,112000,32000,4000,0,"","","","","","","","","","","","",106,110,94,60,28,8,1,0,"","","","","","","","","","",""
1,8,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_02\SpatioTemporalInteractionApproachGenerator_output_file.txt","FastMDCOPOrig","","","","","","","",10,0.5,0.5,"","","","","","","","","","","","",71.2827391,642.08203125,"",992595,595904,571677,345918,112000,32000,4000,0,"","","","","","","","","","","","",1711,105,87,59,28,8,1,0,"","","","","","","","","","","","",450961,581580,571677,345918,112000,32000,4000,0,"","","","","","","","","","","","",94,97,87,59,28,8,1,0,"","","","","","","","","","",""
1,9,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_02\SpatioTemporalInteractionApproachGenerator_output_file.txt","FastMDCOPOrig","","","","","","","",10,0.5,0.7,"","","","","","","","","","","","",66.1747095,631.53515625,"",720712,585590,571677,345918,112000,32000,4000,0,"","","","","","","","","","","","",1711,105,87,59,28,8,1,0,"","","","","","","","","","","","",440243,576491,571677,345918,112000,32000,4000,0,"","","","","","","","","","","","",90,96,87,59,28,8,1,0,"","","","","","","","","","",""
1,10,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_02\SpatioTemporalInteractionApproachGenerator_output_file.txt","FastMDCOPOrig","","","","","","","",10,0.5,0.9,"","","","","","","","","","","","",60.5637231,799.9921875,"",465537,550488,565896,345918,112000,32000,4000,0,"","","","","","","","","","","","",1711,94,86,59,28,8,1,0,"","","","","","","","","","","","",390856,549522,565896,345918,112000,32000,4000,0,"","","","","","","","","","","","",77,91,86,59,28,8,1,0,"","","","","","","","","","",""
