"block","subblock","repetition","repetitioncount","filename","alg","predictions","cache_prevalence","cache_nonprevalent","cache_localprevalent","filter","save_trees","clean_trees","maxdist","minprev","minfreq","pcachetime","pcachehit","pcachemiss","lcachetime","lcachehit","lcachemiss","fcachetime","fcachehit","fcachemiss","prcachetime","prcachehit","prcachemiss","time","memavail","candidate_instances_size_1","candidate_instances_size_2","candidate_instances_size_3","candidate_instances_size_4","candidate_instances_size_5","candidate_instances_size_6","candidate_instances_size_7","candidate_instances_size_8","candidate_instances_size_9","candidate_instances_size_10","candidate_instances_size_11","candidate_instances_size_12","candidate_instances_size_13","candidate_instances_size_14","candidate_instances_size_15","candidate_instances_size_16","candidate_instances_size_17","candidate_instances_size_18","candidate_instances_size_19","candidate_instances_size_20","candidate_colocations_size_1","candidate_colocations_size_2","candidate_colocations_size_3","candidate_colocations_size_4","candidate_colocations_size_5","candidate_colocations_size_6","candidate_colocations_size_7","candidate_colocations_size_8","candidate_colocations_size_9","candidate_colocations_size_10","candidate_colocations_size_11","candidate_colocations_size_12","candidate_colocations_size_13","candidate_colocations_size_14","candidate_colocations_size_15","candidate_colocations_size_16","candidate_colocations_size_17","candidate_colocations_size_18","candidate_colocations_size_19","candidate_colocations_size_20","pattern_instances_size_1","pattern_instances_size_2","pattern_instances_size_3","pattern_instances_size_4","pattern_instances_size_5","pattern_instances_size_6","pattern_instances_size_7","pattern_instances_size_8","pattern_instances_size_9","pattern_instances_size_10","pattern_instances_size_11","pattern_instances_size_12","pattern_instances_size_13","pattern_instances_size_14","pattern_instances_size_15","pattern_instances_size_16","pattern_instances_size_17","pattern_instances_size_18","pattern_instances_size_19","pattern_instances_size_20","pattern_colocations_size_1","pattern_colocations_size_2","pattern_colocations_size_3","pattern_colocations_size_4","pattern_colocations_size_5","pattern_colocations_size_6","pattern_colocations_size_7","pattern_colocations_size_8","pattern_colocations_size_9","pattern_colocations_size_10","pattern_colocations_size_11","pattern_colocations_size_12","pattern_colocations_size_13","pattern_colocations_size_14","pattern_colocations_size_15","pattern_colocations_size_16","pattern_colocations_size_17","pattern_colocations_size_18","pattern_colocations_size_19","pattern_colocations_size_20"
1,1,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_03\SpatioTemporalInteractionApproachGenerator_output_file.txt","FastMDCOPOrig","","","","","","","",10,0.5,0.1,"","","","","","","","","","","","",44.8508658,1035.9453125,"",405361,335310,405423,366443,229096,94118,21792,2121,0,"","","","","","","","","","","",1711,195,221,190,113,44,10,1,0,"","","","","","","","","","","",202569,320452,405423,366443,229096,94118,21792,2121,0,"","","","","","","","","","","",127,185,221,190,113,44,10,1,0,"","","","","","","","","",""
1,2,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_03\SpatioTemporalInteractionApproachGenerator_output_file.txt","FastMDCOPOrig","","","","","","","",10,0.5,0.3,"","","","","","","","","","","","",67.9904462,599.74609375,"",342790,325519,405423,366443,229096,94118,21792,2121,0,"","","","","","","","","","","",1711,189,221,190,113,44,10,1,0,"","","","","","","","","","","",197716,318890,405423,366443,229096,94118,21792,2121,0,"","","","","","","","","","","",121,184,221,190,113,44,10,1,0,"","","","","","","","","",""
1,3,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_03\SpatioTemporalInteractionApproachGenerator_output_file.txt","FastMDCOPOrig","","","","","","","",10,0.5,0.5,"","","","","","","","","","","","",59.4374393,1006.22265625,"",288936,321821,405423,366443,229096,94118,21792,2121,0,"","","","","","","","","","","",1711,188,221,190,113,44,10,1,0,"","","","","","","","","","","",196565,317892,405423,366443,229096,94118,21792,2121,0,"","","","","","","","","","","",120,183,221,190,113,44,10,1,0,"","","","","","","","","",""
1,4,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_03\SpatioTemporalInteractionApproachGenerator_output_file.txt","FastMDCOPOrig","","","","","","","",10,0.5,0.7,"","","","","","","","","","","","",32.6540021,1082.76171875,"",231933,292017,328247,248812,121496,35586,4510,0,"","","","","","","","","","","","",1711,153,147,99,42,10,1,0,"","","","","","","","","","","","",184889,282516,328247,248812,121496,35586,4510,0,"","","","","","","","","","","","",104,142,147,99,42,10,1,0,"","","","","","","","","","",""
1,5,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_03\SpatioTemporalInteractionApproachGenerator_output_file.txt","FastMDCOPOrig","","","","","","","",10,0.5,0.9,"","","","","","","","","","","","",15.118205900000001,1101.46875,"",172022,171331,126637,44980,4603,0,"","","","","","","","","","","","","","",1711,73,41,11,1,0,"","","","","","","","","","","","","","",145570,170642,126637,44980,4603,0,"","","","","","","","","","","","","","",76,72,41,11,1,0,"","","","","","","","","","","","",""
