"block","subblock","repetition","repetitioncount","filename","alg","predictions","cache_prevalence","cache_nonprevalent","cache_localprevalent","filter","save_trees","clean_trees","maxdist","minprev","minfreq","pcachetime","pcachehit","pcachemiss","lcachetime","lcachehit","lcachemiss","fcachetime","fcachehit","fcachemiss","prcachetime","prcachehit","prcachemiss","time","memavail","candidate_instances_size_1","candidate_instances_size_2","candidate_instances_size_3","candidate_instances_size_4","candidate_instances_size_5","candidate_instances_size_6","candidate_instances_size_7","candidate_instances_size_8","candidate_instances_size_9","candidate_instances_size_10","candidate_instances_size_11","candidate_instances_size_12","candidate_instances_size_13","candidate_instances_size_14","candidate_instances_size_15","candidate_instances_size_16","candidate_instances_size_17","candidate_instances_size_18","candidate_instances_size_19","candidate_instances_size_20","candidate_colocations_size_1","candidate_colocations_size_2","candidate_colocations_size_3","candidate_colocations_size_4","candidate_colocations_size_5","candidate_colocations_size_6","candidate_colocations_size_7","candidate_colocations_size_8","candidate_colocations_size_9","candidate_colocations_size_10","candidate_colocations_size_11","candidate_colocations_size_12","candidate_colocations_size_13","candidate_colocations_size_14","candidate_colocations_size_15","candidate_colocations_size_16","candidate_colocations_size_17","candidate_colocations_size_18","candidate_colocations_size_19","candidate_colocations_size_20","pattern_instances_size_1","pattern_instances_size_2","pattern_instances_size_3","pattern_instances_size_4","pattern_instances_size_5","pattern_instances_size_6","pattern_instances_size_7","pattern_instances_size_8","pattern_instances_size_9","pattern_instances_size_10","pattern_instances_size_11","pattern_instances_size_12","pattern_instances_size_13","pattern_instances_size_14","pattern_instances_size_15","pattern_instances_size_16","pattern_instances_size_17","pattern_instances_size_18","pattern_instances_size_19","pattern_instances_size_20","pattern_colocations_size_1","pattern_colocations_size_2","pattern_colocations_size_3","pattern_colocations_size_4","pattern_colocations_size_5","pattern_colocations_size_6","pattern_colocations_size_7","pattern_colocations_size_8","pattern_colocations_size_9","pattern_colocations_size_10","pattern_colocations_size_11","pattern_colocations_size_12","pattern_colocations_size_13","pattern_colocations_size_14","pattern_colocations_size_15","pattern_colocations_size_16","pattern_colocations_size_17","pattern_colocations_size_18","pattern_colocations_size_19","pattern_colocations_size_20"
1,1,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_05\SpatioTemporalInteractionApproachGenerator_output_file__velocity_limit_05.0__sample_00.txt","FastMDCOPOrig","","","","","","","",10,1.0,0.5,"","","","","","","","","","","","",4.3105142999999995,10837.52734375,"",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","","","",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","",""
1,2,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_05\SpatioTemporalInteractionApproachGenerator_output_file__velocity_limit_05.0__sample_01.txt","FastMDCOPOrig","","","","","","","",10,1.0,0.5,"","","","","","","","","","","","",4.134130300000001,10836.93359375,"",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","","","",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","",""
1,3,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_05\SpatioTemporalInteractionApproachGenerator_output_file__velocity_limit_05.0__sample_02.txt","FastMDCOPOrig","","","","","","","",10,1.0,0.5,"","","","","","","","","","","","",3.8870146,10834.44140625,"",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","","","",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","",""
1,4,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_05\SpatioTemporalInteractionApproachGenerator_output_file__velocity_limit_05.0__sample_03.txt","FastMDCOPOrig","","","","","","","",10,1.0,0.5,"","","","","","","","","","","","",6.4087008999999995,10674.96484375,"",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","","","",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","",""
1,5,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_05\SpatioTemporalInteractionApproachGenerator_output_file__velocity_limit_05.0__sample_04.txt","FastMDCOPOrig","","","","","","","",10,1.0,0.5,"","","","","","","","","","","","",7.6866033,10703.17578125,"",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","","","",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","",""
1,6,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_05\SpatioTemporalInteractionApproachGenerator_output_file__velocity_limit_05.0__sample_05.txt","FastMDCOPOrig","","","","","","","",10,1.0,0.5,"","","","","","","","","","","","",6.0133525,10727.140625,"",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","","","",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","",""
1,7,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_05\SpatioTemporalInteractionApproachGenerator_output_file__velocity_limit_05.0__sample_06.txt","FastMDCOPOrig","","","","","","","",10,1.0,0.5,"","","","","","","","","","","","",8.289887299999998,10749.15234375,"",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","","","",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","",""
1,8,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_05\SpatioTemporalInteractionApproachGenerator_output_file__velocity_limit_05.0__sample_07.txt","FastMDCOPOrig","","","","","","","",10,1.0,0.5,"","","","","","","","","","","","",4.459088700000001,10770.984375,"",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","","","",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","",""
1,9,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_05\SpatioTemporalInteractionApproachGenerator_output_file__velocity_limit_05.0__sample_08.txt","FastMDCOPOrig","","","","","","","",10,1.0,0.5,"","","","","","","","","","","","",4.2249481,10768.2890625,"",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","","","",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","",""
1,10,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_05\SpatioTemporalInteractionApproachGenerator_output_file__velocity_limit_05.0__sample_09.txt","FastMDCOPOrig","","","","","","","",10,1.0,0.5,"","","","","","","","","","","","",3.918128,10779.66796875,"",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","","","",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","",""
1,11,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_05\SpatioTemporalInteractionApproachGenerator_output_file__velocity_limit_05.0__sample_10.txt","FastMDCOPOrig","","","","","","","",10,1.0,0.5,"","","","","","","","","","","","",3.9803456,10774.6953125,"",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","","","",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","",""
1,12,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_05\SpatioTemporalInteractionApproachGenerator_output_file__velocity_limit_05.0__sample_11.txt","FastMDCOPOrig","","","","","","","",10,1.0,0.5,"","","","","","","","","","","","",3.9064862000000002,10771.58984375,"",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","","","",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","",""
1,13,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_05\SpatioTemporalInteractionApproachGenerator_output_file__velocity_limit_05.0__sample_12.txt","FastMDCOPOrig","","","","","","","",10,1.0,0.5,"","","","","","","","","","","","",3.9193522,10772.08203125,"",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","","","",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","",""
1,14,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_05\SpatioTemporalInteractionApproachGenerator_output_file__velocity_limit_05.0__sample_13.txt","FastMDCOPOrig","","","","","","","",10,1.0,0.5,"","","","","","","","","","","","",4.0446692,10768.53515625,"",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","","","",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","",""
1,15,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_05\SpatioTemporalInteractionApproachGenerator_output_file__velocity_limit_05.0__sample_14.txt","FastMDCOPOrig","","","","","","","",10,1.0,0.5,"","","","","","","","","","","","",3.9690857,10768.234375,"",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","","","",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","",""
1,16,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_05\SpatioTemporalInteractionApproachGenerator_output_file__velocity_limit_05.0__sample_15.txt","FastMDCOPOrig","","","","","","","",10,1.0,0.5,"","","","","","","","","","","","",4.0417337,10741.0703125,"",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","","","",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","",""
1,17,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_05\SpatioTemporalInteractionApproachGenerator_output_file__velocity_limit_05.0__sample_16.txt","FastMDCOPOrig","","","","","","","",10,1.0,0.5,"","","","","","","","","","","","",4.290552600000001,10739.578125,"",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","","","",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","",""
1,18,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_05\SpatioTemporalInteractionApproachGenerator_output_file__velocity_limit_05.0__sample_17.txt","FastMDCOPOrig","","","","","","","",10,1.0,0.5,"","","","","","","","","","","","",3.888421,10777.6796875,"",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","","","",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","",""
1,19,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_05\SpatioTemporalInteractionApproachGenerator_output_file__velocity_limit_05.0__sample_18.txt","FastMDCOPOrig","","","","","","","",10,1.0,0.5,"","","","","","","","","","","","",3.9021351,10783.2578125,"",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","","","",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","",""
1,20,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_05\SpatioTemporalInteractionApproachGenerator_output_file__velocity_limit_05.0__sample_19.txt","FastMDCOPOrig","","","","","","","",10,1.0,0.5,"","","","","","","","","","","","",4.0562021999999995,10782.9453125,"",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","","","",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","",""
1,21,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_05\SpatioTemporalInteractionApproachGenerator_output_file__velocity_limit_05.0__sample_20.txt","FastMDCOPOrig","","","","","","","",10,1.0,0.5,"","","","","","","","","","","","",3.8803299,10812.71484375,"",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","","","",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","",""
1,22,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_05\SpatioTemporalInteractionApproachGenerator_output_file__velocity_limit_05.0__sample_21.txt","FastMDCOPOrig","","","","","","","",10,1.0,0.5,"","","","","","","","","","","","",3.9196138000000005,10819.0,"",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","","","",28000,56000,70000,56000,28000,8000,1000,0,"","","","","","","","","","","","",28,56,70,56,28,8,1,0,"","","","","","","","","","",""
